name,ttm,09/30/2025,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"189,588,000,000","50,534,000,000","50,184,000,000","40,659,000,000","48,211,000,000","46,196,000,000","47,808,000,000","42,777,000,000","45,962,000,000","43,801,000,000","44,954,000,000","41,474,000,000","43,999,000,000","39,392,000,000","40,190,000,000","34,476,000,000","37,678,000,000","35,683,000,000","26,752,000,000","36,228,000,000","35,952,000,000","37,501,000,000","19,371,000,000","34,320,000,000","39,715,000,000","36,990,000,000","38,853,000,000","40,342,000,000","41,793,000,000","37,666,000,000","38,920,000,000","41,959,000,000","41,326,000,000","36,451,000,000","39,853,000,000","39,146,000,000","38,654,000,000","35,943,000,000","39,485,000,000","37,718,000,000","40,251,000,000","38,144,000,000","37,263,000,000","33,900,000,000","35,870,000,000","34,920,000,000","37,411,000,000","35,876,000,000","37,036,000,000","35,775,000,000","37,923,000,000","35,649,000,000","36,424,000,000","32,172,000,000","33,211,000,000","32,445,000,000","34,576,000,000","33,047,000,000","35,527,000,000","33,114,000,000","32,428,000,000","29,893,000,000","35,067,000,000","31,566,000,000","35,449,000,000","30,272,000,000","26,810,000,000","24,390,000,000","29,192,000,000","31,746,000,000","41,102,000,000","43,292,000,000","44,116,000,000","41,078,000,000","44,242,000,000","43,005,000,000","40,318,000,000","37,095,000,000","41,878,000,000","40,789,000,000","46,549,000,000","40,510,000,000","44,548,000,000","45,136,000,000","45,262,000,000","39,121,000,000","42,873,000,000","44,723,000,000","45,750,000,000","36,742,000,000","40,670,000,000","40,815,000,000","41,684,000,000","39,338,000,000","42,332,000,000","39,857,000,000","41,150,000,000","36,502,000,000","42,314,000,000","42,446,000,000","42,587,000,000","40,055,000,000","44,519,000,000","42,894,000,000","44,418,000,000","37,280,000,000","41,907,000,000","37,549,000,000","37,903,000,000","32,640,000,000","37,289,000,000","36,584,000,000","41,064,000,000","36,096,000,000","40,265,000,000","36,202,000,000","38,833,000,000","33,960,000,000","37,937,000,000","36,261,000,000","34,547,000,000","31,418,000,000","36,389,000,000","34,783,000,000","33,643,000,000","30,622,000,000","33,772,000,000","30,402,000,000","27,841,000,000","24,498,000,000","29,419,000,000","26,763,000,000","25,406,800,000","23,325,300,000","26,842,700,000","24,557,500,000","21,981,900,000","21,116,700,000","23,846,700,000","21,341,000,000","24,190,800,000","22,986,900,000","26,871,700,000","23,600,600,000","24,144,900,000","20,242,300,000","25,889,700,000","25,869,000,000","31,586,400,000","17,728,700,000","22,388,800,000","20,741,700,000","18,757,900,000","15,246,800,000","19,496,100,000","18,142,600,000","16,262,400,000","14,365,800,000","17,302,500,000","14,785,100,000","14,096,600,000","11,630,000,000"
	OperatingRevenue,"189,588,000,000","50,534,000,000","50,184,000,000","40,659,000,000","48,211,000,000","46,196,000,000","47,808,000,000","42,777,000,000","45,962,000,000","43,801,000,000","44,954,000,000","41,474,000,000","43,999,000,000","39,392,000,000","40,190,000,000","34,476,000,000","37,678,000,000","35,683,000,000","26,752,000,000","36,228,000,000","35,952,000,000","37,501,000,000","19,371,000,000","34,320,000,000","39,715,000,000","36,990,000,000","38,853,000,000","40,342,000,000","41,793,000,000","37,666,000,000","38,920,000,000","41,959,000,000","41,323,000,000","36,451,000,000","39,853,000,000","39,146,000,000","38,653,000,000","35,943,000,000","39,485,000,000","37,718,000,000","40,251,000,000","38,144,000,000","37,263,000,000","33,900,000,000","35,870,000,000","34,920,000,000","37,411,000,000","35,876,000,000","37,036,000,000","35,775,000,000","37,923,000,000","35,649,000,000","36,424,000,000","32,172,000,000","33,211,000,000","32,445,000,000","34,576,000,000","33,047,000,000","35,527,000,000","33,114,000,000","32,428,000,000","29,893,000,000","35,067,000,000","31,566,000,000","35,449,000,000","30,272,000,000","26,810,000,000","24,390,000,000","29,192,000,000","31,746,000,000","41,102,000,000","43,292,000,000","44,116,000,000","41,078,000,000","44,242,000,000","43,005,000,000","40,318,000,000","37,095,000,000","41,878,000,000","40,789,000,000","46,549,000,000","40,510,000,000","44,548,000,000","45,136,000,000","45,262,000,000","39,121,000,000","42,873,000,000","44,723,000,000","45,750,000,000","36,742,000,000","40,670,000,000","40,815,000,000","41,684,000,000","39,338,000,000","42,332,000,000","39,857,000,000","41,150,000,000","36,502,000,000","42,314,000,000","42,446,000,000","42,587,000,000","40,055,000,000","44,519,000,000","42,894,000,000","44,418,000,000","37,280,000,000","41,907,000,000","37,549,000,000","37,903,000,000","32,640,000,000","37,289,000,000","36,584,000,000","41,064,000,000","36,096,000,000","40,265,000,000","36,202,000,000","38,833,000,000","33,960,000,000","37,937,000,000","36,261,000,000","34,547,000,000","31,418,000,000","36,389,000,000","34,783,000,000","33,643,000,000","30,622,000,000","33,772,000,000","30,402,000,000","27,841,000,000","24,498,000,000","29,419,000,000","26,763,000,000","25,406,800,000","23,325,300,000","26,842,700,000","24,557,500,000","21,981,900,000","21,116,700,000","23,846,700,000","21,341,000,000","24,190,800,000","22,986,900,000","26,871,700,000","23,600,600,000","24,144,900,000","20,242,300,000","25,889,700,000","25,869,000,000","31,586,400,000","17,728,700,000","22,388,800,000","20,741,700,000","18,757,900,000","15,246,800,000","19,496,100,000","18,142,600,000","16,262,400,000","14,365,800,000","17,302,500,000","14,785,100,000","14,096,600,000","11,630,000,000"
CostOfRevenue,"175,315,000,000","46,236,000,000","46,967,000,000","37,909,000,000","44,203,000,000","42,860,000,000","43,247,000,000","39,176,000,000","43,432,000,000","40,001,000,000","39,743,000,000","36,855,000,000","39,896,000,000","36,041,000,000","34,563,000,000","30,393,000,000","33,691,000,000","31,394,000,000","23,897,000,000","30,921,000,000","34,864,000,000","32,884,000,000","20,165,000,000","33,446,000,000","37,180,000,000","34,650,000,000","36,038,000,000","36,297,000,000","38,165,000,000","33,920,000,000","35,556,000,000","38,091,000,000","37,369,000,000","32,534,000,000","35,545,000,000","34,918,000,000","35,895,000,000","32,868,000,000","34,780,000,000","32,577,000,000","33,852,000,000","33,118,000,000","32,071,000,000","29,119,000,000","31,716,000,000","30,870,000,000","31,930,000,000","31,699,000,000","33,362,000,000","30,792,000,000","33,229,000,000","30,711,000,000","34,527,000,000","27,414,000,000","28,668,000,000","27,760,000,000","29,699,000,000","27,617,000,000","29,253,000,000","26,776,000,000","27,251,000,000","24,233,000,000","27,828,000,000","25,139,000,000","29,732,000,000","24,817,000,000","23,346,000,000","21,413,000,000","26,653,000,000","25,001,000,000","39,994,000,000","35,456,000,000","38,452,000,000","33,238,000,000","36,303,000,000","34,774,000,000","38,529,000,000","37,552,000,000","36,181,000,000","36,701,000,000","39,141,000,000","33,471,000,000","36,713,000,000","37,120,000,000","37,219,000,000","30,956,000,000","33,624,000,000","34,054,000,000","38,616,000,000","28,381,000,000","31,684,000,000","31,055,000,000","28,097,000,000","30,568,000,000","32,320,000,000","30,074,000,000","43,133,000,000","27,296,000,000","33,648,000,000","30,815,000,000","40,867,000,000","29,670,000,000","33,515,000,000","31,578,000,000","37,210,000,000","27,879,000,000","30,796,000,000","27,737,000,000","33,109,000,000","25,253,000,000","27,403,000,000","26,937,000,000","33,795,000,000","27,408,000,000","30,233,000,000","27,183,000,000","34,123,000,000","26,485,000,000","28,976,000,000","28,974,000,000","31,417,000,000","24,681,000,000","27,795,000,000","26,941,000,000","28,817,000,000","23,990,000,000","26,220,000,000","24,176,000,000","22,496,000,000","20,070,000,000","23,990,000,000","21,808,000,000","18,358,100,000","19,851,200,000","21,853,800,000","19,962,800,000","14,204,300,000","17,737,100,000","20,091,500,000","18,338,400,000","18,660,700,000","18,816,300,000","21,575,600,000","18,911,500,000",,,,,,,,,,,,,,,,,,
GrossProfit,"14,273,000,000","4,298,000,000","3,217,000,000","2,750,000,000","4,008,000,000","3,336,000,000","4,561,000,000","3,601,000,000","2,530,000,000","3,800,000,000","5,211,000,000","4,619,000,000","4,103,000,000","3,351,000,000","5,627,000,000","4,083,000,000","3,987,000,000","4,289,000,000","2,855,000,000","5,307,000,000","1,088,000,000","4,617,000,000","-794,000,000","874,000,000","2,535,000,000","2,340,000,000","2,815,000,000","4,045,000,000","3,628,000,000","3,746,000,000","3,364,000,000","3,868,000,000","3,957,000,000","3,917,000,000","4,308,000,000","4,228,000,000","2,759,000,000","3,075,000,000","4,705,000,000","5,141,000,000","6,399,000,000","5,026,000,000","5,192,000,000","4,781,000,000","4,154,000,000","4,050,000,000","5,481,000,000","4,177,000,000","3,674,000,000","4,983,000,000","4,694,000,000","4,938,000,000","1,897,000,000","4,758,000,000","4,543,000,000","4,685,000,000","4,877,000,000","5,430,000,000","6,274,000,000","6,338,000,000","5,177,000,000","5,660,000,000","7,239,000,000","6,427,000,000","5,717,000,000","5,455,000,000","3,464,000,000","2,977,000,000","2,539,000,000","6,745,000,000","1,108,000,000","7,836,000,000","5,664,000,000","7,840,000,000","7,939,000,000","8,231,000,000","1,789,000,000","-457,000,000","5,697,000,000","4,088,000,000","7,408,000,000","7,039,000,000","7,835,000,000","8,016,000,000","8,043,000,000","8,165,000,000","9,249,000,000","10,669,000,000","7,134,000,000","8,361,000,000","8,986,000,000","9,760,000,000","13,587,000,000","8,770,000,000","10,012,000,000","9,783,000,000","-1,983,000,000","9,206,000,000","8,666,000,000","11,631,000,000","1,720,000,000","10,385,000,000","11,004,000,000","11,316,000,000","7,208,000,000","9,401,000,000","11,111,000,000","9,812,000,000","4,794,000,000","7,387,000,000","9,886,000,000","9,647,000,000","7,269,000,000","8,688,000,000","10,032,000,000","9,019,000,000","4,710,000,000","7,475,000,000","8,961,000,000","7,287,000,000","3,130,000,000","6,737,000,000","8,594,000,000","7,842,000,000","4,826,000,000","6,632,000,000","7,552,000,000","6,226,000,000","5,345,000,000","4,428,000,000","5,429,000,000","4,955,000,000","7,048,700,000","3,474,100,000","4,988,900,000","4,594,700,000","7,777,600,000","3,379,600,000","3,755,200,000","3,002,600,000","5,530,100,000","4,170,600,000","5,296,100,000","4,689,100,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"10,654,000,000","2,740,000,000","2,706,000,000","2,431,000,000","2,777,000,000","2,456,000,000","2,678,000,000","2,376,000,000","2,775,000,000","2,671,000,000","2,750,000,000","2,506,000,000","2,542,000,000","2,847,000,000","2,759,000,000","2,740,000,000","3,248,000,000","2,947,000,000","2,877,000,000","2,843,000,000","3,530,000,000","2,266,000,000","1,965,000,000","2,432,000,000","2,992,000,000","2,601,000,000","2,725,000,000","2,843,000,000","2,996,000,000","2,882,000,000","2,778,000,000","2,747,000,000","3,088,000,000","2,919,000,000","2,756,000,000","2,764,000,000","4,438,000,000","2,657,000,000","2,784,000,000","2,690,000,000","4,059,000,000","2,386,000,000","2,544,000,000","3,538,000,000","3,873,000,000","3,558,000,000","3,580,000,000","3,411,000,000","3,149,000,000","3,281,000,000","3,256,000,000","3,164,000,000","3,494,000,000","2,974,000,000","2,960,000,000","2,862,000,000","3,104,000,000","2,861,000,000","2,928,000,000","2,734,000,000","3,029,000,000","2,618,000,000","3,006,000,000","3,089,000,000","3,290,000,000","3,005,000,000","3,529,000,000","4,094,000,000","4,456,000,000","4,575,000,000","7,903,000,000","5,438,000,000","5,341,000,000","4,904,000,000","4,952,000,000","5,964,000,000","5,257,000,000","4,489,000,000","4,623,000,000","4,594,000,000","6,102,000,000","6,165,000,000","6,110,000,000","6,275,000,000","7,264,000,000","6,020,000,000","6,094,000,000","6,172,000,000","6,430,000,000","6,430,000,000","6,647,000,000","8,954,000,000","3,424,000,000","9,512,000,000","6,990,000,000","9,872,000,000","13,639,000,000","7,377,000,000","6,924,000,000","10,302,000,000","134,000,000","6,504,000,000","6,516,000,000","6,138,000,000","4,089,000,000","5,951,000,000","6,160,000,000","5,322,000,000","2,881,000,000","4,191,000,000","4,588,000,000","4,661,000,000","1,794,000,000","4,515,000,000","4,270,000,000","4,148,000,000","1,853,000,000","3,990,000,000","3,918,000,000","3,739,000,000","1,953,000,000","3,568,000,000","3,627,000,000","2,735,000,000","1,635,000,000","2,982,000,000","3,018,000,000","2,406,000,000","2,681,000,000","2,322,000,000","2,387,000,000","2,165,000,000","7,131,300,000","2,029,300,000","1,985,600,000","1,839,100,000","6,425,900,000","1,803,600,000","1,885,900,000","1,815,500,000","5,648,300,000","1,175,500,000","1,253,700,000","1,028,300,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"10,654,000,000","2,740,000,000","2,706,000,000","2,431,000,000","2,777,000,000","2,456,000,000","2,678,000,000","2,376,000,000","2,775,000,000","2,671,000,000","2,750,000,000","2,506,000,000","2,542,000,000","2,847,000,000","2,759,000,000","2,740,000,000","3,248,000,000","2,947,000,000","2,877,000,000","2,843,000,000","3,530,000,000","2,266,000,000","1,965,000,000","2,432,000,000","2,992,000,000","2,601,000,000","2,725,000,000","2,843,000,000","2,996,000,000","2,882,000,000","2,778,000,000","2,747,000,000","3,088,000,000","2,919,000,000","2,756,000,000","2,764,000,000","4,438,000,000","2,657,000,000","2,784,000,000","2,690,000,000","3,941,000,000","2,386,000,000","2,544,000,000","3,465,000,000","3,785,000,000","3,484,000,000","3,476,000,000","3,372,000,000","3,080,000,000","3,235,000,000","3,203,000,000","3,124,000,000","3,408,000,000","2,919,000,000","2,983,000,000","2,878,000,000","3,076,000,000","2,861,000,000","2,907,000,000","2,734,000,000","3,029,000,000","2,654,000,000","3,137,000,000","3,089,000,000","3,290,000,000","3,005,000,000","3,110,000,000","3,692,000,000","4,456,000,000","4,575,000,000","7,305,000,000","5,094,000,000","5,341,000,000","4,904,000,000","4,952,000,000","5,964,000,000","5,257,000,000","4,489,000,000","4,623,000,000","4,594,000,000","6,102,000,000","6,165,000,000","6,110,000,000","6,275,000,000","7,264,000,000","6,020,000,000","6,094,000,000","6,172,000,000","4,590,000,000","6,430,000,000","6,647,000,000","4,079,000,000","18,696,000,000","4,439,000,000","4,343,000,000","4,856,000,000","26,000,000","4,697,000,000","4,250,000,000","4,629,000,000","-2,241,000,000","4,077,000,000","4,118,000,000","3,930,000,000","1,716,000,000","3,618,000,000","3,769,000,000","3,165,000,000","707,000,000","1,971,000,000","2,430,000,000","2,624,000,000","-301,000,000","2,504,000,000","2,496,000,000","2,383,000,000","112,000,000","2,222,000,000","2,243,000,000","2,048,000,000","289,000,000","1,853,000,000","2,027,000,000","1,214,000,000","215,000,000","1,592,000,000","1,821,000,000","1,503,000,000","1,824,000,000","1,495,000,000","1,681,000,000","1,491,000,000","1,855,200,000","1,495,000,000","1,504,700,000","1,374,700,000","1,746,100,000","1,433,700,000","1,524,000,000","1,448,800,000","3,128,000,000","920,100,000","995,500,000","877,300,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,731,000,000","1,840,000,000","2,095,000,000",,"2,553,000,000",,"2,530,000,000","2,647,000,000","2,666,000,000","2,691,000,000","2,680,000,000","2,674,000,000","2,519,000,000","2,375,000,000","2,427,000,000","2,398,000,000","2,208,000,000","2,373,000,000","2,333,000,000","2,391,000,000","2,157,000,000","2,174,000,000","2,220,000,000","2,158,000,000","2,037,000,000","2,095,000,000","2,011,000,000","1,774,000,000","1,765,000,000","1,741,000,000","1,768,000,000","1,675,000,000","1,691,000,000","1,664,000,000","1,715,000,000","1,600,000,000","1,521,000,000","1,420,000,000","1,390,000,000","1,197,000,000","903,000,000","857,000,000","827,000,000","706,000,000","674,000,000","5,276,100,000","534,300,000","480,900,000","464,400,000","4,679,800,000","369,900,000","361,900,000","366,700,000","2,520,300,000","255,400,000","258,200,000","151,000,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,731,000,000","1,840,000,000","2,095,000,000",,"2,553,000,000",,"2,530,000,000","2,647,000,000","2,666,000,000","2,691,000,000","2,680,000,000","2,674,000,000","2,519,000,000","2,375,000,000","2,427,000,000","2,398,000,000","2,208,000,000","2,373,000,000","2,333,000,000","2,391,000,000","2,157,000,000","2,174,000,000","2,220,000,000","2,158,000,000","2,037,000,000","2,095,000,000","2,011,000,000","1,774,000,000","1,765,000,000","1,741,000,000","1,768,000,000","1,675,000,000","1,691,000,000","1,664,000,000","1,715,000,000","1,600,000,000","1,521,000,000","1,420,000,000","1,390,000,000","1,197,000,000","903,000,000","857,000,000","827,000,000","706,000,000","674,000,000","5,276,100,000","534,300,000","480,900,000","464,400,000","4,679,800,000","369,900,000","361,900,000","366,700,000","2,520,300,000","255,400,000","258,200,000","151,000,000",,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,000,000",,,"5,000,000","21,000,000",,,"-36,000,000","-131,000,000",,,,"419,000,000","402,000,000",,,"598,000,000","344,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,"1,789,000,000","1,661,000,000","2,233,000,000","2,924,000,000","2,368,000,000","2,368,000,000","2,381,000,000","2,355,000,000",,"2,352,000,000","2,362,000,000","2,338,000,000","2,382,000,000","2,273,000,000","2,217,000,000","2,218,000,000","2,386,000,000","2,200,000,000","2,258,000,000","2,060,000,000","118,000,000","1,905,000,000","1,745,000,000","73,000,000","88,000,000","74,000,000","104,000,000","39,000,000","69,000,000","46,000,000","53,000,000","40,000,000",,"55,000,000","-23,000,000","-16,000,000",,,,,,,"-131,000,000","-41,000,000",,,"419,000,000","402,000,000",,,,,,,,,,,,,,,,,,,,"2,533,000,000",,,,"2,322,000,000",,"2,543,000,000",,"2,350,000,000",,,"3,174,000,000","3,154,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,619,000,000","1,558,000,000","511,000,000","319,000,000","1,231,000,000","880,000,000","1,883,000,000","1,225,000,000","-245,000,000","1,129,000,000","2,461,000,000","2,113,000,000","1,561,000,000","504,000,000","2,868,000,000","1,343,000,000","739,000,000","1,342,000,000","-22,000,000","2,464,000,000","-2,442,000,000","2,351,000,000","-2,759,000,000","-1,558,000,000","-457,000,000","-261,000,000","90,000,000","1,202,000,000","632,000,000","864,000,000","586,000,000","1,121,000,000","869,000,000","998,000,000","1,552,000,000","1,464,000,000","-1,679,000,000","418,000,000","1,921,000,000","2,451,000,000","2,340,000,000","2,640,000,000","2,648,000,000","1,243,000,000","281,000,000","492,000,000","1,901,000,000","766,000,000","525,000,000","1,702,000,000","1,438,000,000","1,774,000,000","-1,597,000,000","1,784,000,000","1,583,000,000","1,823,000,000","1,773,000,000","2,569,000,000","3,346,000,000","3,604,000,000","2,148,000,000","3,042,000,000","4,233,000,000","3,338,000,000","2,427,000,000","2,450,000,000","-65,000,000","-1,117,000,000","-1,917,000,000","2,170,000,000","-6,795,000,000","2,398,000,000","323,000,000","2,936,000,000","2,987,000,000","2,267,000,000","-3,468,000,000","-4,946,000,000","1,074,000,000","-506,000,000","1,306,000,000","874,000,000","1,725,000,000","1,741,000,000","779,000,000","2,145,000,000","3,155,000,000","4,497,000,000","704,000,000","1,931,000,000","2,339,000,000","806,000,000","10,163,000,000","-742,000,000","3,022,000,000","-89,000,000","-15,622,000,000","1,829,000,000","1,742,000,000","1,329,000,000","1,586,000,000","3,881,000,000","4,488,000,000","5,178,000,000","3,119,000,000","3,450,000,000","4,951,000,000","4,490,000,000","1,913,000,000","3,196,000,000","5,298,000,000","4,986,000,000","5,475,000,000","4,173,000,000","5,762,000,000","4,871,000,000","2,857,000,000","3,485,000,000","5,043,000,000","3,548,000,000","1,177,000,000","3,169,000,000","4,967,000,000","5,107,000,000","3,191,000,000","3,650,000,000","4,534,000,000","3,820,000,000","2,664,000,000","2,106,000,000","3,042,000,000","2,790,000,000","-82,600,000","1,444,800,000","3,003,300,000","2,755,600,000","1,351,700,000","1,576,000,000","1,869,300,000","1,187,100,000","-118,200,000","2,995,100,000","4,042,400,000","3,660,800,000","-58,020,900,000","20,242,300,000","25,889,700,000","25,869,000,000","-47,411,700,000","17,728,700,000","22,388,800,000","20,741,700,000","-46,684,300,000","15,246,800,000","19,496,100,000","18,142,600,000","-42,396,900,000","14,365,800,000","17,302,500,000","14,785,100,000","-35,948,100,000","11,630,000,000"
NetNonOperatingInterestIncomeExpense,"273,000,000","51,000,000","72,000,000","46,000,000","104,000,000","94,000,000","88,000,000","118,000,000","63,000,000","84,000,000","66,000,000","36,000,000","-41,000,000","-139,000,000","-221,000,000","-242,000,000","-373,000,000","-376,000,000","-389,000,000","-404,000,000","-383,000,000","-412,000,000","-316,000,000","-88,000,000","-61,000,000","-79,000,000","-38,000,000","-62,000,000","-105,000,000","-179,000,000","-102,000,000","-142,000,000","-156,000,000","-176,000,000","-182,000,000","-200,000,000","-189,000,000","-163,000,000","-124,000,000","-124,000,000","-111,000,000","-130,000,000","-107,000,000","-113,000,000","-43,000,000","-127,000,000","-147,000,000","-140,000,000","-164,000,000","-154,000,000","-150,000,000","-148,000,000","2,314,000,000","-113,000,000","-102,000,000","-82,000,000","-1,168,000,000","-966,000,000","-969,000,000","-1,065,000,000","-1,507,000,000","-1,290,000,000","-1,509,000,000","-1,597,000,000","4,772,000,000","-1,607,000,000","-1,441,000,000","-1,746,000,000","-2,754,000,000","-2,512,000,000","-2,036,000,000","-2,346,000,000","-2,228,000,000","-2,949,000,000",,,,"-1,382,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,494,000,000","379,000,000","369,000,000","351,000,000","396,000,000","367,000,000","367,000,000","410,000,000","433,000,000","414,000,000","372,000,000","348,000,000","300,000,000","182,000,000","91,000,000","66,000,000","65,000,000","63,000,000","64,000,000","72,000,000","93,000,000","90,000,000","134,000,000","162,000,000","197,000,000","197,000,000","206,000,000","203,000,000","190,000,000","169,000,000","199,000,000","147,000,000","140,000,000","122,000,000","109,000,000","93,000,000","60,000,000","75,000,000","88,000,000","76,000,000","101,000,000","76,000,000","83,000,000","52,000,000","148,000,000","77,000,000","60,000,000","68,000,000","48,000,000","50,000,000","57,000,000","58,000,000","68,000,000","85,000,000","86,000,000","103,000,000","180,000,000","130,000,000","105,000,000","109,000,000","47,000,000","71,000,000","60,000,000","63,000,000","5,409,000,000","131,000,000","238,000,000","175,000,000",,"300,000,000","406,000,000","229,000,000","489,000,000",,,,,"555,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,221,000,000","328,000,000","297,000,000","305,000,000","292,000,000","273,000,000","279,000,000","292,000,000","370,000,000","330,000,000","306,000,000","312,000,000","341,000,000","321,000,000","312,000,000","308,000,000","438,000,000","439,000,000","453,000,000","476,000,000","476,000,000","502,000,000","450,000,000","250,000,000","258,000,000","276,000,000","244,000,000","265,000,000","295,000,000","348,000,000","301,000,000","289,000,000","296,000,000","298,000,000","291,000,000","293,000,000","249,000,000","238,000,000","212,000,000","200,000,000","212,000,000","206,000,000","190,000,000","165,000,000","191,000,000","204,000,000","207,000,000","208,000,000","212,000,000","204,000,000","207,000,000","206,000,000","-2,246,000,000","198,000,000","188,000,000","185,000,000","1,034,000,000","1,096,000,000","1,127,000,000","1,174,000,000","1,554,000,000","1,469,000,000","1,636,000,000","1,701,000,000","637,000,000","1,738,000,000","1,679,000,000","1,921,000,000","2,754,000,000","2,812,000,000","2,442,000,000","2,575,000,000","2,717,000,000","2,949,000,000",,,,"1,937,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-82,000,000",,,"-176,000,000","-53,000,000","-54,000,000",,"-108,000,000","-67,000,000","-41,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
